model,accuracy,precision,recall,f1-score,avg_time_per_image
PyTorch_MOBILENETV2,0.10015772870662461,0.2727873263892098,0.10015772870662461,0.06555786420481333,0.047116339394722824
PyTorch_VGG16,0.8943217665615142,0.9016823227407873,0.8943217665615142,0.8943102507753793,0.042789666528581446
PyTorch_CNN,0.9609621451104101,0.9624582926070298,0.9609621451104101,0.9608629089351373,0.03501047161099286
TensorFlow_MOBILENETV2,0.9692429022082019,0.9712391812314086,0.9692429022082019,0.969240060775574,0.09938742441333807
TensorFlow_VGG16,0.9712145110410094,0.9716131418842145,0.9712145110410094,0.9710091414718602,0.12432201766065243
TensorFlow_CNN,0.9550473186119873,0.9568323993898509,0.9550473186119873,0.9548756999431257,0.10638593941080833
